participantId,langAbv,lang,trialNum,termNum,colorNum,name,displayName,match,colorSpace,r,g,b,rgbSet,studyVersion,instructionsLocale,browserLocale,background
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,0,4,magenta,magenta,no,rgb,49,196,162,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,0,5,magenta,magenta,no,rgb,232,23,134,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,0,6,magenta,magenta,no,rgb,54,69,24,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,0,7,magenta,magenta,no,rgb,112,42,39,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,1,0,verdeoscuro,verde oscuro,no,rgb,92,34,122,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,1,1,verdeoscuro,verde oscuro,no,rgb,26,149,60,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,1,2,verdeoscuro,verde oscuro,no,rgb,53,146,115,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,1,3,verdeoscuro,verde oscuro,no,rgb,86,116,240,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,1,4,verdeoscuro,verde oscuro,no,rgb,49,196,162,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,1,5,verdeoscuro,verde oscuro,no,rgb,232,23,134,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,1,6,verdeoscuro,verde oscuro,yes,rgb,54,69,24,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,1,7,verdeoscuro,verde oscuro,no,rgb,112,42,39,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,2,0,amarilloverdoso,amarillo verdoso,no,rgb,92,34,122,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,2,1,amarilloverdoso,amarillo verdoso,no,rgb,26,149,60,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,2,2,amarilloverdoso,amarillo verdoso,no,rgb,53,146,115,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,2,3,amarilloverdoso,amarillo verdoso,no,rgb,86,116,240,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,2,4,amarilloverdoso,amarillo verdoso,no,rgb,49,196,162,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,2,5,amarilloverdoso,amarillo verdoso,no,rgb,232,23,134,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,2,6,amarilloverdoso,amarillo verdoso,no,rgb,54,69,24,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,2,7,amarilloverdoso,amarillo verdoso,no,rgb,112,42,39,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,3,0,azulmarino,azul marino,no,rgb,92,34,122,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,3,1,azulmarino,azul marino,no,rgb,26,149,60,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,3,2,azulmarino,azul marino,no,rgb,53,146,115,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,3,3,azulmarino,azul marino,no,rgb,86,116,240,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,3,4,azulmarino,azul marino,no,rgb,49,196,162,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,3,5,azulmarino,azul marino,no,rgb,232,23,134,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,3,6,azulmarino,azul marino,no,rgb,54,69,24,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),3,3,7,azulmarino,azul marino,no,rgb,112,42,39,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,0,0,azulcielo,azul cielo,no,rgb,120,122,200,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,0,1,azulcielo,azul cielo,no,rgb,137,41,175,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,0,2,azulcielo,azul cielo,no,rgb,69,100,138,full,2.1.2,en,es,white
