participantId,langAbv,lang,trialNum,termNum,colorNum,name,displayName,match,colorSpace,r,g,b,rgbSet,studyVersion,locale,background
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,2,1,보라,보라색,no,rgb,103,70,220,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,2,2,보라,보라색,no,rgb,151,140,253,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,2,3,보라,보라색,idk,rgb,92,249,114,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,2,4,보라,보라색,somewhat,rgb,89,33,139,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,2,5,보라,보라색,yes,rgb,183,39,218,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,2,6,보라,보라색,yes,rgb,211,187,214,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,2,7,보라,보라색,yes,rgb,227,183,207,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,3,0,짙은초록,짙은 초록색,yes,rgb,161,96,152,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,3,1,짙은초록,짙은 초록색,no,rgb,103,70,220,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,3,2,짙은초록,짙은 초록색,no,rgb,151,140,253,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,3,3,짙은초록,짙은 초록색,yes,rgb,92,249,114,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,3,4,짙은초록,짙은 초록색,no,rgb,89,33,139,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,3,5,짙은초록,짙은 초록색,somewhat,rgb,183,39,218,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,3,6,짙은초록,짙은 초록색,idk,rgb,211,187,214,full,2.0.3,en,black
d6232b39-8aa4-46d6-82f8-5ecd9080bb52,ko,"Korean (한국어, 조선어)",1,3,7,짙은초록,짙은 초록색,somewhat,rgb,227,183,207,full,2.0.3,en,black
