participantId, reason
"4598"
"4768"
"4779"
"5860"
"6742"
"6850"
"7111"
"7441"
"7511"
"7583"
"8175"
"8359"
"8359"
"8481"
"8481"
"8638"
"9249"
"9336"
"9386"
"9629"
"10253"
"10376"
"10376"
"10870"
"10962"
"11033"
"15669"
"15724"
"15856"
"15984"
"16279"
"18863", mix of Hungarian(?) and nonsense
"18992"
"20799"
