lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
English (English),en,deep brown,deepbrown,0,,14,"rgb(74,42,34)",0.32340940035103716,0.042196912129552566,0.029200142064444073
English (English),en,deep green,deepgreen,0,,54,"rgb(36,89,45)",0.41526248168466623,-0.07617533486491562,0.04929123076713675
English (English),en,deep magenta,deepmagenta,1,,17,"rgb(160,39,106)",0.4849888234882714,0.16658786003531406,-0.024768741470654745
English (English),en,deep orange,deeporange,11,"rgb(255, 104, 0)",7,,,,
English (English),en,deep pink,deeppink,34,"rgb(255, 0, 135)",45,"rgb(227,52,137)",0.6199619974907769,0.21952383143407259,-0.012784280590490332
English (English),en,deep purple,deeppurple,5,"rgb(140, 0, 255)",172,"rgb(90,40,118)",0.3848915350285291,0.08640424072699747,-0.09982856042854191
English (English),en,deep red,deepred,7,"rgb(255, 0, 34)",44,"rgb(177,36,40)",0.49738490539241614,0.159577995080776,0.07523163592041342
English (English),en,deep sea blue,deepseablue,4,,13,"rgb(37,75,182)",0.4547226724204127,-0.015225863656062821,-0.1740721586063907
English (English),en,deep sky blue,deepskyblue,16,"rgb(0, 161, 255)",8,,,,
English (English),en,deep violet,deepviolet,1,,19,"rgb(89,42,124)",0.38951211892808824,0.08286101987797237,-0.10894824059161898
English (English),en,denim,denim,16,"rgb(0, 133, 255)",49,"rgb(56,115,179)",0.5456762742907418,-0.03543791138344163,-0.11321244157305776
English (English),en,denim blue,denimblue,5,"rgb(0, 131, 255)",40,"rgb(60,110,171)",0.5316995684127442,-0.02870096484381567,-0.1079182053206979
English (English),en,dirt,dirt,0,,16,"rgb(123,92,60)",0.4983961690567432,0.025761069599567615,0.056616106082309936
English (English),en,dirt brown,dirtbrown,0,,17,"rgb(143,104,62)",0.5466859074318938,0.03028439149344772,0.07048174923143412
English (English),en,dirty green,dirtygreen,1,,34,"rgb(121,145,64)",0.6208211151514076,-0.06135128684070255,0.09375541251044571
English (English),en,dirty yellow,dirtyyellow,13,"rgb(255, 244, 0)",37,"rgb(207,201,52)",0.8163152672151266,-0.046491186220410846,0.15296592558660607
English (English),en,dodger blue,dodgerblue,6,"rgb(0, 148, 255)",4,,,,
English (English),en,drab green,drabgreen,0,,14,"rgb(101,124,83)",0.5554328774678086,-0.04441759421034852,0.048936123870516976
English (English),en,duck egg blue,duckeggblue,0,,15,"rgb(148,207,207)",0.8140224017637868,-0.0581236647021851,-0.01692224073805417
English (English),en,dull blue,dullblue,4,,34,"rgb(69,122,184)",0.5712755621570127,-0.03180682695080646,-0.10796089457514907
English (English),en,dull green,dullgreen,1,,55,"rgb(115,162,96)",0.6630346074151422,-0.0786932516491615,0.07328966418957836
English (English),en,dull orange,dullorange,6,"rgb(255, 130, 0)",16,"rgb(230,133,57)",0.7096093861392383,0.08518622384755808,0.12131160163391357
English (English),en,dull pink,dullpink,0,,41,"rgb(208,129,159)",0.694913884318953,0.10342766411189454,-0.006951504847430393
English (English),en,dull purple,dullpurple,0,,34,"rgb(129,88,143)",0.526442313803596,0.0699706381216449,-0.06438472910913534
English (English),en,dull yellow,dullyellow,3,,19,"rgb(225,216,84)",0.8643744546134225,-0.039577779429769186,0.14513125720338368
English (English),en,dusky blue,duskyblue,1,,16,"rgb(81,131,177)",0.5936532482530756,-0.03394132600375232,-0.08239467312897328
English (English),en,dusky pink,duskypink,1,,38,"rgb(215,142,165)",0.7275086126789807,0.09268783682215904,-0.0010893727981391176
English (English),en,dusky purple,duskypurple,0,,15,"rgb(125,99,142)",0.5416954877301798,0.04816748318542185,-0.053593612257672875
English (English),en,dusky rose,duskyrose,0,,18,"rgb(204,114,138)",0.6579663076876431,0.11588355408179567,0.006945912387991585
English (English),en,dusty blue,dustyblue,3,,46,"rgb(91,142,187)",0.6291615330980469,-0.03523439609782492,-0.0810130622045317
English (English),en,dusty green,dustygreen,0,,27,"rgb(118,164,113)",0.6717678950788644,-0.06979111114980283,0.054309578954397336
English (English),en,dusty lavender,dustylavender,0,,12,"rgb(160,140,172)",0.6681725796682002,0.0358525084267633,-0.03869400388309535
English (English),en,dusty pink,dustypink,0,,90,"rgb(206,136,156)",0.7042531744307066,0.08834139554349964,0.0012924940389654645
English (English),en,dusty purple,dustypurple,0,,51,"rgb(148,110,151)",0.5905347606906494,0.06095223777284839,-0.044185505533141295
English (English),en,dusty rose,dustyrose,0,,133,"rgb(197,123,140)",0.6666911641733696,0.0931840631082715,0.009271931860921697
English (English),en,ecru,ecru,0,,12,"rgb(226,215,165)",0.8749264996483821,-0.007621099532350371,0.06531462783558645
English (English),en,eggplant,eggplant,1,,201,"rgb(95,43,103)",0.38594193075460975,0.08843716862266747,-0.06974408392466123
English (English),en,eggplant purple,eggplantpurple,0,,31,"rgb(94,44,104)",0.3873192666109354,0.08628647408438149,-0.07140523654194622
English (English),en,eggshell,eggshell,1,,32,"rgb(221,227,190)",0.9014849604918224,-0.021016301565150036,0.04447611785322963
English (English),en,electric blue,electricblue,79,"rgb(0, 147, 255)",112,"rgb(26,128,241)",0.606375732977792,-0.047686531446293354,-0.18498338068846804
English (English),en,electric green,electricgreen,26,"rgb(0, 255, 37)",36,"rgb(79,242,87)",0.8460570306563295,-0.19186478051731293,0.14028173523697565
English (English),en,electric pink,electricpink,4,,17,"rgb(233,57,199)",0.6587726211019105,0.2317471978050699,-0.09677139617039654
English (English),en,electric purple,electricpurple,4,,43,"rgb(164,61,224)",0.5799058345084095,0.1510284749172687,-0.18298858904295823
English (English),en,emerald,emerald,13,"rgb(0, 255, 166)",148,"rgb(53,168,99)",0.6510323278509804,-0.1291581338726061,0.06664402413418612
English (English),en,emerald green,emeraldgreen,5,"rgb(0, 255, 156)",142,"rgb(44,151,84)",0.6004516955654059,-0.12307831395871477,0.06634787002867232
English (English),en,evergreen,evergreen,0,,82,"rgb(48,111,63)",0.48610846043081185,-0.08493011943653925,0.05030801281968978
English (English),en,faded blue,fadedblue,4,,17,"rgb(96,150,197)",0.6537873499070269,-0.03629607221678712,-0.08366940784235204
English (English),en,faded green,fadedgreen,3,,30,"rgb(141,200,136)",0.7769811550033149,-0.08659451934572239,0.06576623486839218
English (English),en,faded purple,fadedpurple,0,,20,"rgb(148,118,163)",0.6096593382218087,0.05277789543832142,-0.054438909806185244
English (English),en,fern,fern,1,,26,"rgb(104,172,98)",0.6809044919997264,-0.10014788165387044,0.07736702014150915
English (English),en,fire engine red,fireenginered,14,"rgb(255, 2, 0)",20,"rgb(243,40,41)",0.6194349674786492,0.20705455265992842,0.10736950757131744
English (English),en,firetruck red,firetruckred,4,,12,"rgb(242,45,43)",0.621499943726998,0.20380669900684423,0.1061535917279861
English (English),en,flesh,flesh,0,,39,"rgb(232,175,158)",0.8027758131954149,0.05581069878068128,0.043931980977357024
English (English),en,fluorescent green,fluorescentgreen,15,"rgb(0, 255, 30)",41,"rgb(105,246,80)",0.8633383803060938,-0.18448606564217443,0.14989586400989544
English (English),en,fluorescent yellow,fluorescentyellow,6,"rgb(225, 255, 0)",5,,,,
English (English),en,fluro green,flurogreen,3,,12,"rgb(82,237,59)",0.8311891715138366,-0.1936500671468746,0.1550998867608716
English (English),en,forest,forest,0,,65,"rgb(53,111,58)",0.48914637908968606,-0.084315804291979,0.05775999005189591
English (English),en,forest green,forestgreen,5,"rgb(0, 255, 63)",1439,"rgb(53,111,55)",0.48743757281348526,-0.08586028346362784,0.061692501468401904
English (English),en,french blue,frenchblue,8,"rgb(0, 131, 255)",9,,,,
English (English),en,fuschia,fuchsia,822,"rgb(255, 0, 195)",1217,"rgb(225,49,179)",0.6317104141657283,0.22867308681700402,-0.07739715950385148
English (English),en,fuchsia pink,fuchsiapink,5,"rgb(255, 0, 164)",15,"rgb(230,63,178)",0.6487481370102138,0.22109665218013325,-0.06532249229587728
English (English),en,gold,gold,286,"rgb(255, 201, 0)",623,"rgb(217,179,48)",0.7790693405292358,-0.003962269699046293,0.14565222135703101
English (English),en,golden,golden,13,"rgb(255, 199, 0)",22,"rgb(226,183,50)",0.7971684742868118,0.00017152574392359827,0.1486800523886118
English (English),en,golden brown,goldenbrown,0,,31,"rgb(175,132,46)",0.6392379222985896,0.0176481719135143,0.11191255604354945
English (English),en,golden orange,goldenorange,8,"rgb(255, 173, 0)",7,,,,
English (English),en,goldenrod,goldenrod,125,"rgb(255, 196, 0)",106,"rgb(242,191,39)",0.8278648124739134,0.005304704645448452,0.16052284675117373
English (English),en,golden yellow,goldenyellow,65,"rgb(255, 207, 0)",52,"rgb(244,198,33)",0.8431625149159225,-0.003141512867774964,0.16610918831044236
English (English),en,gold yellow,goldyellow,7,"rgb(255, 213, 0)",10,,,,
English (English),en,grape,grape,9,"rgb(168, 0, 255)",109,"rgb(121,57,156)",0.4738479100470952,0.10717420492497162,-0.12115453413624029
English (English),en,grape purple,grapepurple,0,,16,"rgb(127,51,135)",0.4598526079965873,0.12168197474138288,-0.0898703128192622
English (English),en,grass,grass,8,"rgb(55, 255, 0)",69,"rgb(94,186,62)",0.7075043375337695,-0.1374289582244805,0.12080150433144707
English (English),en,grass green,grassgreen,51,"rgb(67, 255, 0)",401,"rgb(94,186,63)",0.7065756392365179,-0.1364437424004428,0.11949466105145622
