lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Macedonian (македонски јазик),mk,виолетова,виолетова,9,"rgb(185, 0, 255)",0,,,,
Macedonian (македонски јазик),mk,жолта,жолта,10,"rgb(255, 246, 0)",0,,,,
Macedonian (македонски јазик),mk,зелена,зелена,22,"rgb(0, 255, 58)",0,,,,
Macedonian (македонски јазик),mk,портокалова,портокалова,9,"rgb(255, 126, 0)",0,,,,
Macedonian (македонски јазик),mk,светло сина,светлосина,7,"rgb(0, 194, 255)",0,,,,
Macedonian (македонски јазик),mk,сина,сина,21,"rgb(0, 174, 255)",0,,,,
Macedonian (македонски јазик),mk,темно сина,темносина,9,"rgb(0, 66, 255)",0,,,,
Macedonian (македонски јазик),mk,тиркизна,тиркизна,6,"rgb(0, 255, 245)",0,,,,
Macedonian (македонски јазик),mk,црвена,црвена,8,"rgb(255, 0, 26)",0,,,,
