lang,lang_abv,commonName,simplifiedName,numFullNames,numLineNames
English (English),en,blush,blush,77,1
English (English),en,pastel pink,pastelpink,76,0
English (English),en,mahogany,mahogany,76,0
English (English),en,pastel blue,pastelblue,74,12
English (English),en,green brown,greenbrown,73,0
English (English),en,tangerine,tangerine,72,91
English (English),en,blood red,bloodred,72,8
English (English),en,yellow brown,yellowbrown,72,0
English (English),en,medium blue,mediumblue,71,115
English (English),en,azure,azure,71,60
English (English),en,steel blue,steelblue,71,1
English (English),en,purple grey,purplegray,71,0
English (English),en,orange brown,orangebrown,70,2
English (English),en,terracotta,terracotta,69,1
English (English),en,aqua blue,aquablue,68,45
English (English),en,powder blue,powderblue,68,18
English (English),en,grass,grass,68,8
English (English),en,red pink,redpink,67,86
English (English),en,blue violet,blueviolet,67,12
English (English),en,salmon pink,salmonpink,66,2
English (English),en,green grey,greengray,66,0
English (English),en,dark turquoise,darkturquoise,65,4
English (English),en,pinkish purple,pinkishpurple,64,40
English (English),en,apple green,applegreen,64,21
English (English),en,robin's egg blue,robinseggblue,62,43
English (English),en,greyish blue,grayishblue,62,1
English (English),en,burnt umber,burntumber,61,2
English (English),en,greenish yellow,greenishyellow,60,39
English (English),en,dark violet,darkviolet,60,5
English (English),en,ultramarine,ultramarine,59,23
English (English),en,nude,nude,59,0
English (English),en,reddish brown,reddishbrown,59,0
English (English),en,pale purple,palepurple,58,1
English (English),en,red purple,redpurple,57,6
English (English),en,bubblegum pink,bubblegumpink,57,6
English (English),en,pink red,pinkred,56,55
English (English),en,forest,forest,56,0
English (English),en,pinkish red,pinkishred,55,38
English (English),en,yellowish green,yellowishgreen,54,19
English (English),en,teal green,tealgreen,54,8
English (English),en,umber,umber,54,3
English (English),en,bronze,bronze,54,2
English (English),en,swamp green,swampgreen,54,1
English (English),en,cornflower,cornflower,53,39
English (English),en,dull green,dullgreen,53,1
English (English),en,red violet,redviolet,52,18
English (English),en,brown green,browngreen,52,0
English (English),en,deep green,deepgreen,52,0
English (English),en,wine red,winered,52,0
English (English),en,off white,offwhite,51,0
English (English),en,golden yellow,goldenyellow,50,65
English (English),en,lavander,lavander,49,1
English (English),en,silver,silver,49,0
English (English),en,chocolate,chocolate,48,0
English (English),en,pumpkin,pumpkin,47,34
English (English),en,denim,denim,47,16
English (English),en,slate grey,slategray,46,0
English (English),en,greenish brown,greenishbrown,46,0
English (English),en,dusty purple,dustypurple,46,0
English (English),en,prussian blue,prussianblue,45,4
English (English),en,grey brown,graybrown,45,0
English (English),en,light turquoise,lightturquoise,44,27
English (English),en,dusty blue,dustyblue,44,3
English (English),en,marigold,marigold,43,42
English (English),en,lemon yellow,lemonyellow,43,41
English (English),en,deep red,deepred,43,7
English (English),en,jade green,jadegreen,43,4
English (English),en,aubergine,aubergine,43,0
English (English),en,lemon,lemon,42,22
English (English),en,berry,berry,42,11
English (English),en,dark cyan,darkcyan,42,7
English (English),en,reddish purple,reddishpurple,42,4
English (English),en,electric purple,electricpurple,42,4
English (English),en,clay,clay,42,0
English (English),en,fluorescent green,fluorescentgreen,41,14
English (English),en,blush pink,blushpink,41,1
English (English),en,cerulean blue,ceruleanblue,40,18
English (English),en,light violet,lightviolet,40,6
English (English),en,dark maroon,darkmaroon,40,0
English (English),en,deep pink,deeppink,39,31
English (English),en,cherry red,cherryred,39,21
English (English),en,midnight,midnight,39,1
English (English),en,dull pink,dullpink,39,0
English (English),en,flesh,flesh,39,0
English (English),en,greyish purple,grayishpurple,39,0
English (English),en,aqua green,aquagreen,38,16
English (English),en,teal blue,tealblue,38,14
English (English),en,pistachio,pistachio,38,5
English (English),en,denim blue,denimblue,38,5
English (English),en,dark lavender,darklavender,38,1
English (English),en,chocolate brown,chocolatebrown,38,0
English (English),en,vermillion,vermillion,37,15
English (English),en,camo green,camogreen,37,0
English (English),en,electric green,electricgreen,36,24
English (English),en,dirty yellow,dirtyyellow,36,12
English (English),en,yellow ochre,yellowochre,36,9
English (English),en,dusky pink,duskypink,36,1
English (English),en,greenish grey,greenishgray,36,0
English (English),en,brownish green,brownishgreen,36,0
English (English),en,pine,pine,36,0
English (English),en,coffee,coffee,36,0
English (English),en,charcoal,charcoal,36,0
English (English),en,sky,sky,35,27
English (English),en,reddish pink,reddishpink,35,26
English (English),en,light magenta,lightmagenta,35,5
English (English),en,skin,skin,35,1
English (English),en,dark tan,darktan,35,0
English (English),en,dark blue green,darkbluegreen,35,0
English (English),en,like green,likegreen,34,13
English (English),en,dark gold,darkgold,34,4
English (English),en,dirty green,dirtygreen,34,1
English (English),en,mulberry,mulberry,34,1
English (English),en,grayish green,grayishgreen,34,0
English (English),en,pastel yellow,pastelyellow,34,0
English (English),en,dark navy,darknavy,34,0
English (English),en,medium green,mediumgreen,33,6
English (English),en,soft green,softgreen,33,4
English (English),en,apricot,apricot,33,3
English (English),en,dull purple,dullpurple,33,0
English (English),en,dandelion,dandelion,32,21
English (English),en,bright orange,brightorange,32,12
English (English),en,neon,neon,32,8
English (English),en,copper,copper,32,4
English (English),en,dull blue,dullblue,32,3
English (English),en,ivory,ivory,32,2
English (English),en,muted green,mutedgreen,32,0
English (English),en,bright yellow,brightyellow,31,49
English (English),en,greenish blue,greenishblue,31,9
English (English),en,eggshell,eggshell,31,1
