reason_excluded,participantId,langAbv,lang,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
ignoring characters left nothing,3293,en,English (English),?,?,rgb,255,0,109,1,9,line,white,en,pilot,
ignoring characters left nothing,3355,ru,Russian (Русский),purple,purple,rgb,213,0,255,6,6,line,white,en,pilot,
excluded name,3540,de,German (Deutsch),cyan,Cyan,rgb,0,137,255,1,11,line,white,en,pilot,
excluded name,3540,de,German (Deutsch),cyan,Cyan,rgb,0,123,255,6,10,line,white,en,pilot,
excluded name,3696,pt,Portuguese (português),pink,Pink,rgb,255,0,171,1,11,line,white,en,pilot,
excluded name,3696,pt,Portuguese (português),pink,Pink,rgb,255,0,115,3,9,line,white,en,pilot,
ignoring characters left nothing,4143,en,English (English),?,?,rgb,255,0,66,6,10,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),jason funderburker,Jason Funderburker,rgb,255,140,0,3,0,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),dr who,Dr Who,rgb,254,255,0,3,1,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),the 5th element,The 5th Element,rgb,213,255,0,3,2,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),yoko,Yoko,rgb,0,43,255,3,3,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),kodi,Kodi,rgb,0,241,255,3,4,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),julie,Julie,rgb,255,105,0,3,5,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),danger danger doop,Danger Danger Doop,rgb,255,200,0,3,6,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),floooooop,Floooooop,rgb,175,255,0,3,7,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),roar,Roar,rgb,255,0,68,3,8,line,white,en,pilot,
