lang,name,avgColorRGBCode,binPctCnt,totalColorFraction,langAbv,commonName,avgL,avgA,avgB,numFullNames,numLineNames
English (English),blue,"rgb(69, 115, 223)",197.21939848167983,0.05388508155237155,en,blue,50.39546583455399,19.9745271604152,-59.87475853870826,9380,6323
English (English),green,"rgb(93, 193, 81)",262.79528391605066,0.07180199014099747,en,green,70.15254742733877,-50.863670772830254,46.81485559608176,11711,2820
English (English),purple,"rgb(153, 62, 191)",262.591445568002,0.07174629660327925,en,purple,44.21299005266225,57.8333194014877,-51.470366964808136,9655,2308
English (English),pink,"rgb(238, 88, 170)",174.27921894568757,0.047617272935980226,en,pink,60.01462701121419,65.17958719323913,-13.129367788070866,5809,2395
English (English),red,"rgb(228, 40, 47)",85.86923997380318,0.02346154097644896,en,red,49.75481256332315,69.03242147922987,44.708206686930026,3758,2822
English (English),orange,"rgb(244, 132, 32)",91.79319162011961,0.025080107000032686,en,orange,66.37710212718584,36.755763448045506,66.38044325648744,3053,2933
English (English),yellow,"rgb(238, 228, 45)",73.7393120088799,0.02014735300789069,en,yellow,88.78372287682706,-14.576009271779025,81.22078423797576,2577,2600
English (English),brown,"rgb(136, 88, 49)",176.80831634926622,0.04830828315553723,en,brown,41.88520971302414,15.849889624724053,30.647534952170687,4520,10
English (English),magenta,"rgb(220, 40, 170)",63.67982862719629,0.017398860280654727,en,magenta,51.48239960337141,76.22376466699708,-26.737729300941975,2606,1428
English (English),teal,"rgb(68, 196, 179)",55.6266539624695,0.015198539334008063,en,teal,72.11320015667832,-38.76811594202902,-1.6470818644731682,2595,809
English (English),limegreen,"rgb(129, 238, 58)",40.71369512360598,0.01112396041628579,en,lime green,84.98247919404308,-59.43933420937383,71.75646079719691,1975,1069
English (English),lightblue,"rgb(89, 192, 239)",39.51680928161789,0.010796942426671556,en,light blue,73.66834170854263,-16.100502512562823,-32.15857063093244,1660,1325
English (English),skyblue,"rgb(83, 187, 241)",34.471095834368505,0.009418332195182655,en,sky blue,71.91709844559603,-13.482130995084372,-35.769895044506484,1497,1012
English (English),turquoise,"rgb(64, 210, 196)",33.77869890515258,0.009229152706325844,en,turquoise,76.86321700762147,-41.10175157106567,-4.283995186522257,1697,796
English (English),lightgreen,"rgb(133, 228, 111)",47.37357083976363,0.012943598590099355,en,light green,82.8538215634987,-50.01453065969203,48.20401046207507,1819,475
English (English),darkblue,"rgb(46, 55, 174)",35.92758588415594,0.009816280296217473,en,dark blue,30.254641038278308,37.6803022835551,-64.3732544767537,1425,604
English (English),violet,"rgb(152, 64, 195)",44.8079661740767,0.012242613708764128,en,violet,44.630087329049275,57.50205964738862,-53.08947108255076,1653,370
English (English),gray,"rgb(145, 150, 149)",68.12183384037027,0.018612522907204998,en,grey,61.597326649958255,-1.7844611528822028,0.03675856307435261,1992,3
English (English),fuchsia,"rgb(228, 43, 178)",27.673762360622643,0.0075611372570007235,en,fuschia,53.46167186958038,78.39750260145698,-28.23100936524456,1153,769
English (English),hotpink,"rgb(243, 37, 156)",24.97342158070559,0.0068233392297009825,en,hot pink,54.87151841868833,80.43126684636132,-13.15363881401617,1148,707
English (English),darkgreen,"rgb(51, 102, 48)",50.3714754892794,0.013762698221114592,en,dark green,38.58333333333333,-29.136363636363612,25.4469696969697,1757,3
English (English),neongreen,"rgb(94, 243, 63)",18.9237850409803,0.005170433071306094,en,neon green,85.38233550681679,-70.29045643153522,70.14819205690569,1204,483
English (English),royalblue,"rgb(46, 58, 217)",19.270341655821813,0.005265120670989568,en,royal blue,35.21502119927311,50.365435089844496,-81.41328487785175,1050,601
English (English),black,"rgb(36, 31, 33)",80.37073344236231,0.02195921678753069,en,black,12.556551429790861,2.9065300896286805,-0.47801963294921046,1561,1
English (English),cyan,"rgb(72, 221, 225)",17.398542960365848,0.004753700262395042,en,cyan,80.93360525719481,-36.936324495807824,-13.38771810559708,852,619
English (English),maroon,"rgb(133, 38, 55)",47.38723981734603,0.01294733328342788,en,maroon,30.987743330930023,41.749579428022095,13.049747656813265,1376,11
English (English),lavender,"rgb(180, 138, 213)",43.950494304317324,0.012008331777135884,en,lavender,64.00193096789741,29.876900796524257,-32.52715423606086,1346,35
English (English),navyblue,"rgb(44, 53, 126)",36.60949025954455,0.010002592967088678,en,navy blue,25.583959899749384,20.416040100250633,-42.30576441102762,1257,73
English (English),forestgreen,"rgb(55, 111, 53)",36.17304274222899,0.009883345011537979,en,forest green,41.95059842118672,-31.408199643493774,26.860198624904495,1304,5
English (English),darkpurple,"rgb(98, 39, 114)",41.08796502379747,0.011226219951857236,en,dark purple,27.547267547267587,38.730898730898744,-31.794871794871778,1240,47
English (English),aqua,"rgb(70, 221, 209)",14.678851534361343,0.004010615173322772,en,aqua,80.46251993620436,-41.642743221690694,-5.7682083997873494,745,509
English (English),yellowgreen,"rgb(179, 229, 55)",17.385251489110196,0.00475006871287164,en,yellow green,85.0576752440108,-39.0357882283348,73.51671103223904,722,405
English (English),tan,"rgb(206, 171, 113)",36.96337576715295,0.010099282996489878,en,tan,71.8146487294472,4.9865470852017975,34.457399103139,1103,12
English (English),lime,"rgb(146, 238, 62)",16.246543064227467,0.004438946192411877,en,lime,85.68751888788152,-53.92565729827742,71.3448171653068,757,346
English (English),lightpurple,"rgb(190, 116, 216)",26.895374006138113,0.007348462843207136,en,light purple,60.1997503121095,45.524344569288345,-39.65043695380764,937,131
English (English),mintgreen,"rgb(107, 234, 158)",17.315647457791012,0.004731051217975688,en,mint green,84.28571428571406,-52.15646258503398,26.768707482993175,681,299
English (English),indigo,"rgb(91, 55, 184)",20.063349950475924,0.005481789603955172,en,indigo,34.734693877550995,47.10884353741494,-62.639455782313,817,163
English (English),lilac,"rgb(187, 141, 217)",28.236561773480933,0.0077149075883827705,en,lilac,65.43633762517896,31.40915593705296,-32.4892703862661,912,20
English (English),brightgreen,"rgb(80, 232, 73)",11.592618348708703,0.003167382062488717,en,bright green,81.93001841620641,-68.87661141804791,63.07918968692454,692,213
English (English),gold,"rgb(218, 179, 44)",17.67169004029874,0.004828330612103482,en,gold,74.39308530627594,1.2476512589252162,68.30514844043594,608,279
English (English),navy,"rgb(42, 50, 118)",23.26235223201356,0.006355833943173105,en,navy,24.016704631738815,19.293849658314365,-39.96203492786636,841,37
English (English),beige,"rgb(213, 188, 142)",29.7664961252692,0.008132922438598145,en,beige,77.31047619047607,2.080000000000001,26.598095238095254,870,5
English (English),mint,"rgb(117, 234, 166)",16.483136962423412,0.004503589333995469,en,mint,84.79750778816205,-48.39563862928339,23.395638629283493,635,221
English (English),mauve,"rgb(172, 104, 144)",27.90006792457524,0.007622969378299247,en,mauve,52.615629984051175,32.9505582137162,-10.414673046251991,815,21
English (English),darkpink,"rgb(214, 62, 128)",15.69217385252481,0.004287479194678911,en,dark pink,50.96880131362906,63.866995073891744,-2.8489326765188854,598,214
English (English),peach,"rgb(240, 168, 131)",30.09759602182678,0.008223386891209505,en,peach,75.0853548966757,22.11141060197665,30.080862533692734,731,11
English (English),olive,"rgb(132, 145, 58)",23.290211101271144,0.006363445656085013,en,olive,57.534246575342515,-17.29680365296806,43.40639269406393,728,2
