study_version,color_index,color_set_num,color_set_tile_num,r,g,b,color_string
v2,0,1,1,238,139,177,"rgb(238,139,177)"
v2,1,1,2,236,139,183,"rgb(236,139,183)"
v2,2,1,3,233,140,189,"rgb(233,140,189)"
v2,3,1,4,231,140,194,"rgb(231,140,194)"
v2,4,1,5,228,141,200,"rgb(228,141,200)"
v2,5,1,6,225,142,205,"rgb(225,142,205)"
v2,6,1,7,221,143,210,"rgb(221,143,210)"
v2,7,1,8,218,144,215,"rgb(218,144,215)"
v2,8,1,9,214,146,220,"rgb(214,146,220)"
v2,9,1,10,210,147,224,"rgb(210,147,224)"
v2,10,1,11,206,148,229,"rgb(206,148,229)"
v2,11,1,12,201,150,233,"rgb(201,150,233)"
v2,12,1,13,197,152,236,"rgb(197,152,236)"
v2,13,1,14,192,153,240,"rgb(192,153,240)"
v2,14,1,15,187,155,243,"rgb(187,155,243)"
v2,15,2,1,182,157,246,"rgb(182,157,246)"
v2,16,2,2,176,159,248,"rgb(176,159,248)"
v2,17,2,3,171,161,250,"rgb(171,161,250)"
v2,18,2,4,165,163,252,"rgb(165,163,252)"
v2,19,2,5,159,165,253,"rgb(159,165,253)"
v2,20,2,6,153,167,254,"rgb(153,167,254)"
v2,21,2,7,146,169,255,"rgb(146,169,255)"
v2,22,2,8,140,171,255,"rgb(140,171,255)"
v2,23,2,9,133,173,255,"rgb(133,173,255)"
v2,24,2,10,126,175,255,"rgb(126,175,255)"
v2,25,2,11,119,177,254,"rgb(119,177,254)"
v2,26,2,12,112,179,253,"rgb(112,179,253)"
v2,27,2,13,104,181,251,"rgb(104,181,251)"
v2,28,2,14,96,182,249,"rgb(96,182,249)"
v2,29,2,15,88,184,247,"rgb(88,184,247)"
v2,30,3,1,80,186,244,"rgb(80,186,244)"
v2,31,3,2,72,188,241,"rgb(72,188,241)"
v2,32,3,3,63,189,237,"rgb(63,189,237)"
v2,33,3,4,54,191,234,"rgb(54,191,234)"
v2,34,3,5,45,192,230,"rgb(45,192,230)"
v2,35,3,6,36,194,226,"rgb(36,194,226)"
v2,36,3,7,26,195,221,"rgb(26,195,221)"
v2,37,3,8,16,196,216,"rgb(16,196,216)"
v2,38,3,9,6,197,211,"rgb(6,197,211)"
v2,39,3,10,2,198,206,"rgb(2,198,206)"
v2,40,3,11,5,199,201,"rgb(5,199,201)"
v2,41,3,12,14,199,195,"rgb(14,199,195)"
v2,42,3,13,25,200,189,"rgb(25,200,189)"
v2,43,3,14,35,200,183,"rgb(35,200,183)"
v2,44,3,15,45,200,177,"rgb(45,200,177)"
v2,45,4,1,54,200,171,"rgb(54,200,171)"
v2,46,4,2,63,200,165,"rgb(63,200,165)"
v2,47,4,3,72,200,159,"rgb(72,200,159)"
v2,48,4,4,81,199,153,"rgb(81,199,153)"
v2,49,4,5,90,199,146,"rgb(90,199,146)"
v2,50,4,6,98,198,140,"rgb(98,198,140)"
v2,51,4,7,106,197,134,"rgb(106,197,134)"
v2,52,4,8,114,196,127,"rgb(114,196,127)"
v2,53,4,9,122,195,121,"rgb(122,195,121)"
v2,54,4,10,129,194,115,"rgb(129,194,115)"
v2,55,4,11,137,193,109,"rgb(137,193,109)"
v2,56,4,12,144,191,103,"rgb(144,191,103)"
v2,57,4,13,151,190,98,"rgb(151,190,98)"
v2,58,4,14,158,188,93,"rgb(158,188,93)"
v2,59,4,15,164,186,87,"rgb(164,186,87)"
v2,60,5,1,170,184,83,"rgb(170,184,83)"
v2,61,5,2,176,182,78,"rgb(176,182,78)"
v2,62,5,3,182,180,75,"rgb(182,180,75)"
v2,63,5,4,188,178,71,"rgb(188,178,71)"
v2,64,5,5,193,176,69,"rgb(193,176,69)"
v2,65,5,6,198,174,67,"rgb(198,174,67)"
v2,66,5,7,203,171,66,"rgb(203,171,66)"
v2,67,5,8,208,169,66,"rgb(208,169,66)"
v2,68,5,9,212,167,66,"rgb(212,167,66)"
v2,69,5,10,216,164,68,"rgb(216,164,68)"
v2,70,5,11,220,162,70,"rgb(220,162,70)"
v2,71,5,12,224,160,73,"rgb(224,160,73)"
v2,72,5,13,227,158,76,"rgb(227,158,76)"
v2,73,5,14,230,156,80,"rgb(230,156,80)"
v2,74,5,15,233,154,85,"rgb(233,154,85)"
v2,75,6,1,235,152,89,"rgb(235,152,89)"
v2,76,6,2,238,150,94,"rgb(238,150,94)"
v2,77,6,3,239,148,100,"rgb(239,148,100)"
v2,78,6,4,241,146,105,"rgb(241,146,105)"
v2,79,6,5,242,145,111,"rgb(242,145,111)"
v2,80,6,6,243,144,117,"rgb(243,144,117)"
v2,81,6,7,244,142,122,"rgb(244,142,122)"
v2,82,6,8,244,141,128,"rgb(244,141,128)"
v2,83,6,9,245,140,134,"rgb(245,140,134)"
v2,84,6,10,244,140,141,"rgb(244,140,141)"
v2,85,6,11,244,139,147,"rgb(244,139,147)"
v2,86,6,12,243,139,153,"rgb(243,139,153)"
v2,87,6,13,242,138,159,"rgb(242,138,159)"
v2,88,6,14,241,138,165,"rgb(241,138,165)"
v2,89,6,15,239,138,171,"rgb(239,138,171)"
