bin_i,bin_start_r,bin_start_g,bin_start_b,bin_center_r,bin_center_g,bin_center_b,bin_end_before_r,bin_end_before_g,bin_end_before_b
0,1,0,0.21568627450980393,1,0,0,1,0.21176470588235294,0
1,1,0.21176470588235294,0,1,0.3058823529411765,0,1,0.3803921568627451,0
2,1,0.3803921568627451,0,1,0.4470588235294118,0,1,0.5058823529411764,0
3,1,0.5058823529411764,0,1,0.5647058823529412,0,1,0.615686274509804,0
4,1,0.615686274509804,0,1,0.6666666666666666,0,1,0.7176470588235294,0
5,1,0.7176470588235294,0,1,0.7686274509803922,0,1,0.8196078431372549,0
6,1,0.8196078431372549,0,1,0.8666666666666667,0,1,0.9176470588235294,0
7,1,0.9176470588235294,0,1,0.9647058823529412,0,0.9764705882352941,1,0
8,0.9764705882352941,1,0,0.8980392156862745,1,0,0.8156862745098039,1,0
9,0.8156862745098039,1,0,0.7294117647058823,1,0,0.6352941176470588,1,0
10,0.6352941176470588,1,0,0.5294117647058824,1,0,0.4,1,0
11,0.4,1,0,0.19607843137254902,1,0,0,1,0.23137254901960785
12,0,1,0.23137254901960785,0,1,0.3803921568627451,0,1,0.49019607843137253
13,0,1,0.49019607843137253,0,1,0.5843137254901961,0,1,0.6745098039215687
14,0,1,0.6745098039215687,0,1,0.7607843137254902,0,1,0.8431372549019608
15,0,1,0.8431372549019608,0,1,0.9254901960784314,0,0.996078431372549,1
16,0,0.996078431372549,1,0,0.9529411764705882,1,0,0.9058823529411765,1
17,0,0.9058823529411765,1,0,0.8627450980392157,1,0,0.8156862745098039,1
18,0,0.8156862745098039,1,0,0.7725490196078432,1,0,0.7254901960784313,1
19,0,0.7254901960784313,1,0,0.6784313725490196,1,0,0.6313725490196078,1
20,0,0.6313725490196078,1,0,0.5843137254901961,1,0,0.5333333333333333,1
21,0,0.5333333333333333,1,0,0.4823529411764706,1,0,0.42745098039215684,1
22,0,0.42745098039215684,1,0,0.3686274509803922,1,0,0.3058823529411765,1
23,0,0.3058823529411765,1,0,0.2235294117647059,1,0,0.09803921568627451,1
24,0,0.09803921568627451,1,0.12941176470588237,0,1,0.2235294117647059,0,1
25,0.2235294117647059,0,1,0.2980392156862745,0,1,0.3607843137254902,0,1
26,0.3607843137254902,0,1,0.4196078431372549,0,1,0.47843137254901963,0,1
27,0.47843137254901963,0,1,0.5372549019607843,0,1,0.596078431372549,0,1
28,0.596078431372549,0,1,0.6549019607843137,0,1,0.7137254901960784,0,1
29,0.7137254901960784,0,1,0.7725490196078432,0,1,0.8313725490196079,0,1
30,0.8313725490196079,0,1,0.8941176470588236,0,1,0.9529411764705882,0,1
31,0.9529411764705882,0,1,1,0,0.9803921568627451,1,0,0.8980392156862745
32,1,0,0.8980392156862745,1,0,0.8156862745098039,1,0,0.7333333333333333
33,1,0,0.7333333333333333,1,0,0.6549019607843137,1,0,0.5764705882352941
34,1,0,0.5764705882352941,1,0,0.49411764705882355,1,0,0.4117647058823529
35,1,0,0.4117647058823529,1,0,0.3215686274509804,1,0,0.21568627450980393
