bin_i,bin_start_r,bin_start_g,bin_start_b,bin_center_r,bin_center_g,bin_center_b,bin_end_before_r,bin_end_before_g,bin_end_before_b
0,255,0,38,255,0,0,255,35,0
1,255,35,0,255,52,0,255,65,0
2,255,65,0,255,76,0,255,85,0
3,255,85,0,255,94,0,255,103,0
4,255,103,0,255,111,0,255,118,0
5,255,118,0,255,126,0,255,133,0
6,255,133,0,255,140,0,255,146,0
7,255,146,0,255,153,0,255,160,0
8,255,160,0,255,166,0,255,172,0
9,255,172,0,255,179,0,255,185,0
10,255,185,0,255,191,0,255,197,0
11,255,197,0,255,204,0,255,210,0
12,255,210,0,255,216,0,255,222,0
13,255,222,0,255,228,0,255,234,0
14,255,234,0,255,240,0,255,246,0
15,255,246,0,255,252,0,248,255,0
16,248,255,0,237,255,0,225,255,0
17,225,255,0,213,255,0,201,255,0
18,201,255,0,187,255,0,173,255,0
19,173,255,0,159,255,0,142,255,0
20,142,255,0,124,255,0,102,255,0
21,102,255,0,74,255,0,19,255,0
22,19,255,0,0,255,52,0,255,78
23,0,255,78,0,255,97,0,255,114
24,0,255,114,0,255,129,0,255,142
25,0,255,142,0,255,155,0,255,167
26,0,255,167,0,255,179,0,255,191
27,0,255,191,0,255,202,0,255,213
28,0,255,213,0,255,224,0,255,235
29,0,255,235,0,255,245,0,255,255
30,0,255,255,0,249,255,0,244,255
31,0,244,255,0,238,255,0,233,255
32,0,233,255,0,228,255,0,222,255
33,0,222,255,0,217,255,0,211,255
34,0,211,255,0,206,255,0,201,255
35,0,201,255,0,195,255,0,190,255
36,0,190,255,0,184,255,0,179,255
37,0,179,255,0,173,255,0,168,255
38,0,168,255,0,162,255,0,157,255
39,0,157,255,0,151,255,0,145,255
40,0,145,255,0,140,255,0,134,255
41,0,134,255,0,128,255,0,122,255
42,0,122,255,0,116,255,0,109,255
43,0,109,255,0,103,255,0,96,255
44,0,96,255,0,89,255,0,81,255
45,0,81,255,0,73,255,0,65,255
46,0,65,255,0,55,255,0,43,255
47,0,43,255,0,28,255,2,0,255
48,2,0,255,29,0,255,44,0,255
49,44,0,255,55,0,255,66,0,255
50,66,0,255,75,0,255,83,0,255
51,83,0,255,92,0,255,100,0,255
52,100,0,255,108,0,255,115,0,255
53,115,0,255,123,0,255,130,0,255
54,130,0,255,138,0,255,145,0,255
55,145,0,255,153,0,255,160,0,255
56,160,0,255,168,0,255,175,0,255
57,175,0,255,183,0,255,190,0,255
58,190,0,255,198,0,255,206,0,255
59,206,0,255,213,0,255,221,0,255
60,221,0,255,229,0,255,236,0,255
61,236,0,255,244,0,255,252,0,255
62,252,0,255,255,0,249,255,0,239
63,255,0,239,255,0,229,255,0,219
64,255,0,219,255,0,208,255,0,198
65,255,0,198,255,0,188,255,0,178
66,255,0,178,255,0,168,255,0,159
67,255,0,159,255,0,149,255,0,138
68,255,0,138,255,0,128,255,0,118
69,255,0,118,255,0,107,255,0,96
70,255,0,96,255,0,84,255,0,72
71,255,0,72,255,0,57,255,0,38
