bin_i,bin_start_r,bin_start_g,bin_start_b,bin_center_r,bin_center_g,bin_center_b,bin_end_before_r,bin_end_before_g,bin_end_before_b
0,255,0,57,255,0,0,255,52,0
1,255,52,0,255,76,0,255,94,0
2,255,94,0,255,111,0,255,126,0
3,255,126,0,255,140,0,255,153,0
4,255,153,0,255,166,0,255,179,0
5,255,179,0,255,191,0,255,204,0
6,255,204,0,255,216,0,255,228,0
7,255,228,0,255,240,0,255,252,0
8,255,252,0,237,255,0,213,255,0
9,213,255,0,187,255,0,159,255,0
10,159,255,0,124,255,0,74,255,0
11,74,255,0,0,255,52,0,255,97
12,0,255,97,0,255,129,0,255,155
13,0,255,155,0,255,179,0,255,202
14,0,255,202,0,255,224,0,255,245
15,0,255,245,0,249,255,0,238,255
16,0,238,255,0,228,255,0,217,255
17,0,217,255,0,206,255,0,195,255
18,0,195,255,0,184,255,0,173,255
19,0,173,255,0,162,255,0,151,255
20,0,151,255,0,140,255,0,128,255
21,0,128,255,0,116,255,0,103,255
22,0,103,255,0,89,255,0,73,255
23,0,73,255,0,55,255,0,28,255
24,0,28,255,29,0,255,55,0,255
25,55,0,255,75,0,255,92,0,255
26,92,0,255,108,0,255,123,0,255
27,123,0,255,138,0,255,153,0,255
28,153,0,255,168,0,255,183,0,255
29,183,0,255,198,0,255,213,0,255
30,213,0,255,229,0,255,244,0,255
31,244,0,255,255,0,249,255,0,229
32,255,0,229,255,0,208,255,0,188
33,255,0,188,255,0,168,255,0,149
34,255,0,149,255,0,128,255,0,107
35,255,0,107,255,0,84,255,0,57
