bin_i,bin_start_r,bin_start_g,bin_start_b,bin_end_r,bin_end_g,bin_end_b
0,1,0,0,1,0.17254901960784313,0
1,1,0.17254901960784313,0,1,0.2784313725490196,0
2,1,0.2784313725490196,0,1,0.3607843137254902,0
3,1,0.3607843137254902,0,1,0.43529411764705883,0
4,1,0.43529411764705883,0,1,0.5019607843137255,0
5,1,0.5019607843137255,0,1,0.5647058823529412,0
6,1,0.5647058823529412,0,1,0.6274509803921569,0
7,1,0.6274509803921569,0,1,0.6862745098039216,0
8,1,0.6862745098039216,0,1,0.7450980392156863,0
9,1,0.7450980392156863,0,1,0.803921568627451,0
10,1,0.803921568627451,0,1,0.8627450980392157,0
11,1,0.8627450980392157,0,1,0.9215686274509803,0
12,1,0.9215686274509803,0,1,0.9803921568627451,0
13,1,0.9803921568627451,0,0.9529411764705882,1,0
14,0.9529411764705882,1,0,0.8745098039215686,1,0
15,0.8745098039215686,1,0,0.796078431372549,1,0
16,0.796078431372549,1,0,0.7176470588235294,1,0
17,0.7176470588235294,1,0,0.6392156862745098,1,0
18,0.6392156862745098,1,0,0.5529411764705883,1,0
19,0.5529411764705883,1,0,0.4627450980392157,1,0
20,0.4627450980392157,1,0,0.3568627450980392,1,0
21,0.3568627450980392,1,0,0.22745098039215686,1,0
22,0.22745098039215686,1,0,0,1,0
23,0,1,0,0,1,0.24313725490196078
24,0,1,0.24313725490196078,0,1,0.38823529411764707
25,0,1,0.38823529411764707,0,1,0.5098039215686274
26,0,1,0.5098039215686274,0,1,0.6196078431372549
27,0,1,0.6196078431372549,0,1,0.7254901960784313
28,0,1,0.7254901960784313,0,1,0.8313725490196079
29,0,1,0.8313725490196079,0,1,0.9372549019607843
30,0,1,0.9372549019607843,0,0.9764705882352941,1
31,0,0.9764705882352941,1,0,0.9215686274509803,1
32,0,0.9215686274509803,1,0,0.8627450980392157,1
33,0,0.8627450980392157,1,0,0.807843137254902,1
34,0,0.807843137254902,1,0,0.7490196078431373,1
35,0,0.7490196078431373,1,0,0.6941176470588235,1
36,0,0.6941176470588235,1,0,0.6392156862745098,1
37,0,0.6392156862745098,1,0,0.5803921568627451,1
38,0,0.5803921568627451,1,0,0.5215686274509804,1
39,0,0.5215686274509804,1,0,0.4627450980392157,1
40,0,0.4627450980392157,1,0,0.4,1
41,0,0.4,1,0,0.32941176470588235,1
42,0,0.32941176470588235,1,0,0.25882352941176473,1
43,0,0.25882352941176473,1,0,0.17254901960784313,1
44,0,0.17254901960784313,1,0,0.054901960784313725,1
45,0,0.054901960784313725,1,0.027450980392156862,0,1
46,0.027450980392156862,0,1,0.0784313725490196,0,1
47,0.0784313725490196,0,1,0.12941176470588237,0,1
48,0.12941176470588237,0,1,0.1803921568627451,0,1
49,0.1803921568627451,0,1,0.22745098039215686,0,1
50,0.22745098039215686,0,1,0.27450980392156865,0,1
51,0.27450980392156865,0,1,0.3215686274509804,0,1
52,0.3215686274509804,0,1,0.37254901960784315,0,1
53,0.37254901960784315,0,1,0.4235294117647059,0,1
54,0.4235294117647059,0,1,0.47843137254901963,0,1
55,0.47843137254901963,0,1,0.5333333333333333,0,1
56,0.5333333333333333,0,1,0.592156862745098,0,1
57,0.592156862745098,0,1,0.6509803921568628,0,1
58,0.6509803921568628,0,1,0.7137254901960784,0,1
59,0.7137254901960784,0,1,0.7764705882352941,0,1
60,0.7764705882352941,0,1,0.8431372549019608,0,1
61,0.8431372549019608,0,1,0.9098039215686274,0,1
62,0.9098039215686274,0,1,0.9803921568627451,0,1
63,0.9803921568627451,0,1,1,0,0.9254901960784314
64,1,0,0.9254901960784314,1,0,0.8196078431372549
65,1,0,0.8196078431372549,1,0,0.7176470588235294
66,1,0,0.7176470588235294,1,0,0.615686274509804
67,1,0,0.615686274509804,1,0,0.5176470588235295
68,1,0,0.5176470588235295,1,0,0.41568627450980394
69,1,0,0.41568627450980394,1,0,0.3058823529411765
70,1,0,0.3058823529411765,1,0,0.1803921568627451
71,1,0,0.1803921568627451,1,0,0.00392156862745098
